,Symbol,Name,Exchange,industry,sector,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,upcoming_earnings_date,previous_earnings_date
0,A,"Agilent Technologies, Inc",NYSE,Diagnostics & Research,Healthcare,0.72,1593388800.0,1414972800.0,1398:1000,2020-11-23,2020-07-31 00:00:00
1,AA,Alcoa Corp,NYSE,Aluminum,Basic Materials,,,1477958400.0,1000:801,2020-10-14,2020-06-30 00:00:00
2,AAN,"Aaron's, Inc",NYSE,Rental & Leasing Services,Industrials,0.16,1600214400.0,1271376000.0,3:2,2020-11-02,2020-06-30 00:00:00
3,AAP,"Advance Auto Parts, Inc W/I",NYSE,Specialty Retail,Consumer Cyclical,1.0,1600300800.0,1127692800.0,3:2,2020-11-10,2020-07-11 00:00:00
4,AAT,"American Assets Trust, Inc",NYSE,REIT—Diversified,Real Estate,1.0,1599609600.0,,,2020-10-27,2020-06-30 00:00:00
5,AB,AllianceBernstein Holding LP Units,NYSE,Asset Management,Financial Services,2.44,1596153600.0,,,2020-10-22,2020-06-30 00:00:00
6,ABB,ABB Ltd,NYSE,Electrical Equipment & Parts,Industrials,0.83,1585526400.0,985824000.0,4:1,,2020-06-30 00:00:00
7,ABBV,"AbbVie, Inc",NYSE,Drug Manufacturers—General,Healthcare,4.72,1594684800.0,,,2020-10-30,2020-06-30 00:00:00
8,ABC,AmerisourceBergen Corp,NYSE,Medical Distribution,Healthcare,1.68,1597363200.0,1245110400.0,2:1,2020-11-05,2020-06-30 00:00:00
9,ABEV,Ambev SA ADS,NYSE,Beverages—Brewers,Consumer Defensive,0.12,1576800000.0,1384128000.0,5:1,,2020-06-30 00:00:00
10,ABG,"Asbury Automotive Group, Inc",NYSE,Auto & Truck Dealerships,Consumer Cyclical,,1217376000.0,1245110400.0,1:2,2020-10-20,2020-06-30 00:00:00
11,ABM,"ABM Industries, Inc",NYSE,Specialty Business Services,Industrials,0.74,1593561600.0,1020729600.0,2:1,2020-09-08,2020-04-30 00:00:00
12,ABR,Arbor Realty Trust,NYSE,REIT—Mortgage,Real Estate,1.24,1597363200.0,1346284800.0,10:1,2020-10-30,2020-06-30 00:00:00
13,ABT,Abbott Laboratories,NYSE,Medical Devices,Healthcare,1.44,1594684800.0,1357084800.0,10000:4798,2020-10-14,2020-06-30 00:00:00
14,AC,"Associated Capital Group, Inc",NYSE,Capital Markets,Financial Services,0.2,1592179200.0,1595980800.0,1005:1000,2020-08-05,2020-06-30 00:00:00
15,ACA,"Arcosa, Inc",NYSE,Infrastructure Operations,Industrials,0.2,1594684800.0,,,2020-10-28,2020-06-30 00:00:00
16,ACB,"Aurora Cannabis, Inc",NYSE,Drug Manufacturers—Specialty & Generic,Healthcare,,,1589155200.0,1:12,,2020-03-31 00:00:00
17,ACCO,Acco Brands Corp,NYSE,Business Equipment & Supplies,Industrials,0.26,1598313600.0,620611200.0,3:2,2020-10-27,2020-06-30 00:00:00
18,ACEL,"Accel Entertainment, Inc.",NYSE,Gambling,Consumer Cyclical,,,,,2020-08-06,2020-06-30 00:00:00
19,ACH,Aluminum Corp Of China Ltd ADS,NYSE,Aluminum,Basic Materials,,1303776000.0,1160524800.0,4:1,,2020-03-31 00:00:00
20,ACI,"Albertsons Companies, Inc.",NYSE,Grocery Stores,Consumer Defensive,,,,,2020-07-27,2020-06-20 00:00:00
21,ACM,AECOM,NYSE,Engineering & Construction,Industrials,,,,,2020-11-10,2020-06-30 00:00:00
22,ACN,Accenture Plc,NYSE,Information Technology Services,Technology,3.2,1594771200.0,1325203200.0,10:1,2020-09-24,2020-05-31 00:00:00
23,ACRE,Ares Commercial Real Estate Corp,NYSE,REIT—Mortgage,Real Estate,1.32,1593388800.0,,,2020-11-06,2020-06-30 00:00:00
24,ADC,Agree Realty Corp,NYSE,REIT—Retail,Real Estate,2.4,1593043200.0,,,2020-10-19,2020-06-30 00:00:00
25,ADM,Archer-Daniels Midland CP,NYSE,Farm Products,Consumer Defensive,1.44,1597708800.0,,,2020-10-29,2020-06-30 00:00:00
26,ADNT,Adient Plc,NYSE,Auto Parts,Consumer Cyclical,,1540252800.0,,,2020-11-05,2020-06-30 00:00:00
27,ADS,Alliance Data Systems Corp,NYSE,Credit Services,Financial Services,0.84,1597276800.0,1149552000.0,1:4,2020-10-22,2020-06-30 00:00:00
28,ADSW,"Advanced Disposal Services, Inc",NYSE,Waste Management,Industrials,,,,,2020-10-27,2020-06-30 00:00:00
29,ADT,"ADT, Inc",NYSE,Security & Protection Services,Industrials,0.14,1600300800.0,,,2020-11-10,2020-06-30 00:00:00
30,ADX,"Adams Diversified Equity Fund, Inc",NYSE,Asset Management,Financial Services,0.2,1597622400.0,,,2020-10-12,2020-06-30 00:00:00
31,AEG,AEGON NV,NYSE,Insurance—Diversified,Financial Services,0.14,1597968000.0,1050537600.0,104:100,,2020-06-30 00:00:00
32,AEM,Agnico Eagle Mines Ltd,NYSE,Gold,Basic Materials,0.8,1598572800.0,,,2017-02-08,2020-06-30 00:00:00
33,AEO,"American Eagle Outfitters, Inc",NYSE,Apparel Retail,Consumer Cyclical,0.14,1617840000.0,1166486400.0,3:2,2020-09-09,2020-05-02 00:00:00
34,AEP,"American Electric Power Co, Inc",NYSE,Utilities—Regulated Electric,Utilities,2.8,1596758400.0,,,2020-10-22,2020-06-30 00:00:00
35,AER,Aercap Holdings NV,NYSE,Airports & Air Services,Industrials,,,,,2020-11-06,2020-06-30 00:00:00
36,AES,AES Corp,NYSE,Utilities—Diversified,Utilities,0.57,1596153600.0,959904000.0,2:1,2020-11-04,2020-06-30 00:00:00
37,AFB,Alliancebernstein NAT Muni Income Fund Inc,NYSE,Asset Management,Financial Services,0.64,1599091200.0,,,2020-03-27,2020-04-30 00:00:00
38,AFG,"American Financial Group, Inc",NYSE,Insurance—Property & Casualty,Financial Services,2.0,1594684800.0,1166400000.0,3:2,2020-10-27,2020-06-30 00:00:00
39,AFL,"AFLAC, Inc",NYSE,Insurance—Life,Financial Services,1.12,1597708800.0,1521417600.0,2:1,2020-10-27,2020-06-30 00:00:00
40,AFT,"Apollo Senior Floating Rate Fund, Inc",NYSE,Asset Management,Financial Services,1.04,1597622400.0,,,,2019-12-31 00:00:00
41,AG,First Majestic Silver Corp,NYSE,Silver,Basic Materials,,,,,,2020-06-30 00:00:00
42,AGCO,AGCO Corp,NYSE,Farm & Heavy Construction Machinery,Industrials,0.64,1597276800.0,823132800.0,2:1,2020-10-27,2020-06-30 00:00:00
43,AGD,Aberdeen Global Dynamic Dividend Fund,NYSE,Asset Management,Financial Services,0.78,1597881600.0,1390262400.0,1:2,,2020-04-30 00:00:00
44,AGI,"Alamos Gold, Inc",NYSE,Gold,Basic Materials,0.06,1592179200.0,,,,2020-06-30 00:00:00
45,AGM,Federal Agricultural Mortgage Corp,NYSE,Credit Services,Financial Services,3.2,1591920000.0,933552000.0,3:1,2020-11-04,2020-06-30 00:00:00
46,AGO,Assured Guaranty Ltd,NYSE,Insurance—Specialty,Financial Services,0.8,1597708800.0,,,2020-11-05,2020-06-30 00:00:00
47,AGRO,Adecoagro SA,NYSE,Farm Products,Consumer Defensive,,,,,2020-11-11,2020-06-30 00:00:00
48,AGS,"PlayAGS, Inc",NYSE,Gambling,Consumer Cyclical,,,,,2020-08-05,2020-06-30 00:00:00
49,AGX,"Argan, Inc",NYSE,Engineering & Construction,Industrials,1.0,1595376000.0,1002585600.0,1:15,2020-09-07,2020-04-30 00:00:00
50,AHC,A.H. Belo Corp,NYSE,Publishing,Communication Services,0.16,1597276800.0,1422921600.0,10:1,2020-07-27,2020-06-30 00:00:00
51,AHH,"Armada Hoffler Properties, Inc",NYSE,REIT—Diversified,Real Estate,0.44,1601337600.0,,,2020-10-29,2020-06-30 00:00:00
52,AHT,"Ashford Hospitality Trust, Inc",NYSE,REIT—Hotel & Motel,Real Estate,,1577664000.0,1594857600.0,1:10,2020-10-27,2020-06-30 00:00:00
53,AI,Arlington Asset Investment,NYSE,REIT—Mortgage,Real Estate,,1577664000.0,1254873600.0,1:20,2019-10-21,2020-06-30 00:00:00
54,AIG,"American Intl, Inc",NYSE,Insurance—Diversified,Financial Services,1.28,1600214400.0,1246406400.0,1:20,2020-10-30,2020-06-30 00:00:00
55,AIN,Albany Intl Corp,NYSE,Textile Manufacturing,Consumer Cyclical,0.76,1591228800.0,944611200.0,102:100,2020-10-27,2020-06-30 00:00:00
56,AIR,AAR Corp,NYSE,Aerospace & Defense,Industrials,0.3,1585267200.0,888278400.0,3:2,2020-09-23,2020-05-31 00:00:00
57,AIT,"Applied Industrial, Inc",NYSE,Industrial Distribution,Industrials,1.28,1597276800.0,1150416000.0,3:2,2020-10-28,2020-06-30 00:00:00
58,AIV,Apartment Investment,NYSE,REIT—Residential,Real Estate,1.64,1597276800.0,1550707200.0,1:1,2020-10-29,2020-06-30 00:00:00
59,AIZ,"Assurant, Inc",NYSE,Insurance—Specialty,Financial Services,2.52,1598572800.0,,,2020-11-03,2020-06-30 00:00:00
60,AJG,Arthur J Gallagher,NYSE,Insurance Brokers,Financial Services,1.8,1599091200.0,979862400.0,2:1,2020-10-22,2020-06-30 00:00:00
61,AJRD,"Aerojet Rocketdyne Holdings, Inc",NYSE,Aerospace & Defense,Industrials,,1085011200.0,938995200.0,10000:5275,2020-10-26,2020-06-30 00:00:00
62,AJX,Great Ajax Corp,NYSE,REIT—Mortgage,Real Estate,0.68,1597276800.0,,,2020-11-03,2020-06-30 00:00:00
63,AKR,Acadia Realty Trust,NYSE,REIT—Retail,Real Estate,,1585526400.0,1418083200.0,10:1,2020-10-21,2020-06-30 00:00:00
64,AL,Air Lease Corp,NYSE,Rental & Leasing Services,Industrials,0.6,1599696000.0,,,2020-11-05,2020-06-30 00:00:00
65,ALB,Albemarle Corp,NYSE,Specialty Chemicals,Basic Materials,1.54,1600300800.0,,,2020-11-04,2020-06-30 00:00:00
66,ALC,Alcon Inc.,NYSE,Medical Instruments & Supplies,Healthcare,,,,,,2020-06-30 00:00:00
67,ALE,"Allete, Inc",NYSE,Utilities—Diversified,Utilities,2.47,1597276800.0,,,2020-11-04,2020-06-30 00:00:00
68,ALEX,"Alexander & Baldwin, Inc",NYSE,REIT—Diversified,Real Estate,0.76,1583452800.0,,,2020-07-30,2020-06-30 00:00:00
69,ALG,"Alamo Group, Inc",NYSE,Farm & Heavy Construction Machinery,Industrials,0.52,1594771200.0,,,2020-10-28,2020-06-30 00:00:00
70,ALK,"Alaska Air Group, Inc",NYSE,Airlines,Industrials,,1581638400.0,1404950400.0,2:1,2020-10-22,2020-06-30 00:00:00
71,ALL,Allstate Corp,NYSE,Insurance—Property & Casualty,Financial Services,2.16,1598486400.0,899337600.0,2:1,2020-11-04,2020-06-30 00:00:00
72,ALLE,Allegion Plc,NYSE,Security & Protection Services,Industrials,1.28,1592179200.0,,,2020-10-22,2020-06-30 00:00:00
73,ALSN,"Allison Transmission Holdings, Inc",NYSE,Auto Parts,Consumer Cyclical,0.68,1597968000.0,,,2020-10-28,2020-06-30 00:00:00
