,"Symbol","Name","Exchange","Sector","industry","dividendRate","exDividendDate","lastSplitDate","lastSplitFactor","Buy","Sell","Hold","Previous_Earnings_Date","Expected","Actual","Surprise","Future Earnings Date","daysSinceLastDividend","BBP","Exponential Moving Average","day1","day2","day3","day4"
0,"BCO","Brink&#39","NYSE","Transportation","Oil Refining/Marketing",0.6,1595548800,0,0,1,0,0,"2020-07-28",-0.12,0.67,667.8,,4,-0.894042840267409,0.448330214136871,1,1,0,1
1,"RDY","Dr. Reddy&#39","NYSE","Health Care","Major Pharmaceuticals",0.33,1594339200,0,0,0,0,0,"2020-05-19",0.49,0.61,24.49,,-52,-0.235954427886608,1.25905398743715,0,0,0,0
2,"M","Macy&#39","NYSE","Consumer Services","Department/Specialty Retail Stores",,1583971200,0,0,0,4,0,"2020-09-01",-1.77,-0.81,54.19,,173,-0.016150892515476,0.450852821536632,0,1,1,1
3,"AWH","Aspira Women&#39","Nasdaq","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances",,0,0,0,0,0,0,"2020-08-13","-","-","-",,0,0.371665157190542,5.53688889609443,1,0,0,0
4,"FRAN","Francesca&#39","Nasdaq","Consumer Services","Clothing/Shoe/Accessory Stores",,0,0,0,0,0,0,"2020-06-18","-","-","-",,0,0.051863982721912,0.199221549574121,1,1,1,1
5,"KSS","Kohl&#39","NYSE","Consumer Services","Department/Specialty Retail Stores",,1584403200,0,0,1,2,2,"2020-08-17",-0.83,-0.25,69.88,,153,0.775375841182049,0.467419739086612,1,1,0,1
6,"DPZ","Domino&#39","NYSE","Consumer Non-Durables","Food Distributors",3.12,1600041600,0,0,12,0,6,"2020-07-15",2.24,2.99,33.36,,-61,0.524070289950932,1.30479375436114,1,1,1,1
7,"DKS","Dick&#39","NYSE","Consumer Services","Other Specialty Stores",1.25,1599696000,0,0,4,0,8,"2020-08-25",1.3,3.21,147.69,,-16,-0.505991122667768,1.18901760730814,1,1,1,1
8,"EXP","Eagle Materials Inc","NYSE","Capital Goods","Building Materials",,1586390400,0,0,2,0,0,"2020-05-18",0.88,1.28,44.96,,39,-0.171921487288244,0.626044695639053,0,0,0,0
9,"SD","SandRidge Energy, Inc.","NYSE","Energy","Oil & Gas Production",,0,0,0,0,0,0,"2020-05-18",0.49,-0.25,-151.02,,0,0.181661389030406,0.468755669208239,0,0,0,0
10,"TARO","Taro Pharmaceutical Industries Ltd.","NYSE","Health Care","Major Pharmaceuticals",,1544400000,0,0,0,0,0,"2020-05-18",1.53,1.42,-7.19,,525,0.305634336133215,0.740591490728535,0,0,0,0
11,"DAO","Youdao, Inc.","NYSE","Consumer Services","Other Consumer Services",,0,0,0,1,0,0,"2020-05-18","-","-","-",,0,1.52205376280084,1.54177584988416,1,0,0,1
12,"CVLG","Covenant Logistics Group, Inc.","Nasdaq","Transportation","Trucking Freight/Courier Services",,0,0,0,0,0,0,"2020-05-18",-0.1,-0.09,12.62,,0,,,0,0,0,0
13,"HFFG","HF Foods Group Inc.","Nasdaq","Consumer Non-Durables","Food Distributors",,0,0,0,0,0,0,"2020-05-18","-","-","-",,0,-0.090255905760823,0.335890143707093,0,0,0,0
14,"INSE","Inspired Entertainment, Inc.","Nasdaq","Technology","Computer Software: Prepackaged Software",,0,0,0,0,0,0,"2020-05-18",-0.66,-0.78,-18.18,,0,-0.13177380223679,0.315279674970963,0,0,0,0
15,"IIN","IntriCon Corporation","Nasdaq","Capital Goods","Electrical Products",,1000252800,0,0,3,0,0,"2020-05-18",-0.09,-0.22,-144.44,,6823,0.550134463853363,0.654725278298191,0,0,0,0
16,"KRNT","Kornit Digital Ltd.","Nasdaq","Capital Goods","Industrial Machinery/Components",,0,0,0,2,0,0,"2020-05-18",-0.09,-0.22,-155.81,"2020-11-16",0,0.410875793466229,0.909572036277812,0,0,0,0
17,"NTES","NetEase, Inc.","Nasdaq","Miscellaneous","Business Services",5.94,1598486400,0,0,3,0,0,"2020-05-18",28.13,32.17,14.36,,-101,0.472750026635515,1.17975586070436,1,1,1,1
18,"PFIN","P & F Industries, Inc.","Nasdaq","Technology","Industrial Machinery/Components",,1582243200,0,0,0,0,0,"2020-05-18","-","-","-",,87,-0.207569314757988,0.653405340301974,1,1,1,0
19,"PSHG","Performance Shipping Inc.","Nasdaq","Transportation","Marine Transportation",,1464220800,0,0,0,0,0,"2020-05-18","-","-","-",,1453,-0.397967110483183,0.801136371589807,1,0,0,0
20,"RADA","RADA Electronic Industries Ltd.","Nasdaq","Technology","Electronic Components",,0,0,0,0,0,0,"2020-05-18","-","-",180,,0,0.115202114524988,0.816025666066647,0,0,0,0
21,"RRR","Red Rock Resorts, Inc.","Nasdaq","Consumer Services","Hotels/Resorts",0.4,1583971200,0,0,1,0,0,"2020-05-18",0.2,-2.18,-1212.24,,67,0.061202662607557,0.444189730838449,0,0,0,0
22,"SNFCA","Security National Financial Corporation","Nasdaq","Finance","Finance: Consumer Services",,0,1,1,0,0,0,"2020-05-18","-","-","-",,0,0.233802662551361,1.01393599564124,0,0,0,1
23,"TACT","TransAct Technologies Incorporated","Nasdaq","Technology","Computer peripheral equipment",,1574121600,0,0,0,0,1,"2020-05-18",-0.08,-0.13,-62.5,,181,-0.078847145609898,0.356681483233416,0,0,0,0
24,"YCBD","cbdMD, Inc.","AMEX","Consumer Non-Durables","Package Goods/Cosmetics",,0,0,0,0,0,0,"2020-05-18",-0.08,0.46,675,,0,0.143967025520635,0.277437494658865,0,0,0,1
25,"CPLG","CorePoint Lodging Inc.","NYSE","Consumer Services","Real Estate Investment Trusts",0.8,1585526400,0,0,0,0,0,"2020-05-19",-0.74,-0.37,50,"2020-11-11",50,-0.064341358823847,0.391394300760673,0,0,0,1
26,"AVAL","Grupo Aval Acciones y Valores S.A.","NYSE","Finance","Commercial Banks",0.29,1598572800,0,0,0,0,0,"2020-05-19",0.17,0.18,5.88,,-101,-0.397829277038556,0.538213081359655,0,0,0,1
27,"HVT","Haverty Furniture Companies, Inc.","NYSE","Consumer Services","Other Specialty Stores",0.8,1597968000,0,0,0,0,1,"2020-05-19",-0.32,0.09,128.13,"2020-10-28",-94,0.703572651995366,0.651692820831631,0,1,1,1
28,"HUYA","HUYA Inc.","NYSE","Technology","Computer Software: Programming, Data Processing",,0,0,0,1,0,1,"2020-05-19",0.93,1.12,20.95,,0,0.082195893396648,0.726014377395686,1,1,1,1
29,"MUX","McEwen Mining Inc.","NYSE","Basic Industries","Precious Metals",,1551916800,0,0,5,0,0,"2020-05-19",-0.01,-0.25,-2400,,439,-0.716596692647097,0.86991070975898,0,0,0,1
30,"MCK","McKesson Corporation","NYSE","Health Care","Other Pharmaceuticals",1.68,1598832000,0,0,4,0,1,"2020-05-19",4.1,4.27,4.12,"2020-10-28",-104,-0.400482991790986,0.896551632743345,0,0,1,1
31,"RCL","Royal Caribbean Group","NYSE","Consumer Services","Marine Transportation",3.12,1583366400,0,0,4,1,2,"2020-05-19",-0.63,-1.48,-134.92,"2020-10-28",75,-0.277558191164198,0.321629608711576,0,0,1,1
32,"SKY","Skyline Champion Corporation","NYSE","Basic Industries","Homebuilding",,1527120000,0,0,0,0,2,"2020-05-19",0.2,0.14,-31.37,,726,0.334012706948848,0.577920643083032,0,0,1,1
33,"ZTO","ZTO Express (Cayman) Inc.","NYSE","Transportation","Trucking Freight/Courier Services",,1586217600,0,0,0,0,0,"2020-05-19",0.72,0.82,14.21,"2020-11-16",42,1.07244977070328,1.44836604893323,1,1,1,1
34,"BLRX","BioLineRx Ltd.","Nasdaq","Health Care","Major Pharmaceuticals",,0,0,0,0,0,0,"2020-05-19",-0.82,-0.6,27.27,,0,-0.11352167981698,0.619506156835918,0,0,0,1
35,"CNTY","Century Casinos, Inc.","Nasdaq","Consumer Services","Hotels/Resorts",,0,0,0,0,0,0,"2020-05-19",0.01,-1.55,-12023.08,"2020-11-02",0,-0.051944125958622,0.445243917525157,0,0,0,1
36,"CBPO","China Biologic Products Holdings, Inc.","Nasdaq","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",,0,0,0,0,0,0,"2020-05-19",1.38,1.56,13.04,"2020-11-11",0,0.360276636185632,0.920632888385458,0,0,0,1
37,"CSWI","CSW Industrials, Inc.","Nasdaq","Basic Industries","Home Furnishings",0.54,1596067200,0,0,0,0,1,"2020-05-19",0.75,0.83,11.41,"2020-11-03",-72,-0.739814008874442,0.890241555134383,0,0,0,1
