,"Symbol","Name","Exchange","Sector","industry","dividendRate","exDividendDate","lastSplitDate","lastSplitFactor","Buy","Sell","Hold","Previous_Earnings_Date","Expected","Actual","Surprise","Future Earnings Date"
227,"BCO","Brink&#39","NYSE","Transportation","Oil Refining/Marketing",0.6,1595548800,,,1,0,0,"2020-07-28",-0.12,0.67,667.8,
327,"RDY","Dr. Reddy&#39","NYSE","Health Care","Major Pharmaceuticals",0.33,1594339200,,,0,0,0,"2020-05-19",0.49,0.61,24.49,
482,"M","Macy&#39","NYSE","Consumer Services","Department/Specialty Retail Stores",,1583971200,,,0,4,0,"2020-09-01",-1.77,-0.81,54.19,
901,"AWH","Aspira Women&#39","Nasdaq","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances",,,,,0,0,0,"2020-08-13","-","-","-",
1229,"FRAN","Francesca&#39","Nasdaq","Consumer Services","Clothing/Shoe/Accessory Stores",,,,,0,0,0,"2020-06-18","-","-","-",
454,"KSS","Kohl&#39","NYSE","Consumer Services","Department/Specialty Retail Stores",,1584403200,,,1,2,2,"2020-08-17",-0.83,-0.25,69.88,
323,"DPZ","Domino&#39","NYSE","Consumer Non-Durables","Food Distributors",3.12,1600041600,,,12,0,6,"2020-07-15",2.24,2.99,33.36,
320,"DKS","Dick&#39","NYSE","Consumer Services","Other Specialty Stores",1.25,1599696000,,,4,0,8,"2020-08-25",1.3,3.21,147.69,
335,"EXP","Eagle Materials Inc","NYSE","Capital Goods","Building Materials",,1586390400,,,2,0,0,"2020-05-18",0.88,1.28,44.96,
592,"SD","SandRidge Energy, Inc.","NYSE","Energy","Oil & Gas Production",,,,,0,0,0,"2020-05-18",0.49,-0.25,-151.02,
630,"TARO","Taro Pharmaceutical Industries Ltd.","NYSE","Health Care","Major Pharmaceuticals",,1544400000,,,0,0,0,"2020-05-18",1.53,1.42,-7.19,
695,"DAO","Youdao, Inc.","NYSE","Consumer Services","Other Consumer Services",,,,,1,0,0,"2020-05-18","-","-","-",
1124,"CVLG","Covenant Logistics Group, Inc.","Nasdaq","Transportation","Trucking Freight/Courier Services",,,,,0,0,0,"2020-05-18",-0.1,-0.09,12.62,
1289,"HFFG","HF Foods Group Inc.","Nasdaq","Consumer Non-Durables","Food Distributors",,,,,0,0,0,"2020-05-18","-","-","-",
1327,"INSE","Inspired Entertainment, Inc.","Nasdaq","Technology","Computer Software: Prepackaged Software",,,,,0,0,0,"2020-05-18",-0.66,-0.78,-18.18,
1331,"IIN","IntriCon Corporation","Nasdaq","Capital Goods","Electrical Products",,1000252800,,,3,0,0,"2020-05-18",-0.09,-0.22,-144.44,
1360,"KRNT","Kornit Digital Ltd.","Nasdaq","Capital Goods","Industrial Machinery/Components",,,,,2,0,0,"2020-05-18",-0.09,-0.22,-155.81,"2020-11-16"
1456,"NTES","NetEase, Inc.","Nasdaq","Miscellaneous","Business Services",5.94,1598486400,,,3,0,0,"2020-05-18",28.13,32.17,14.36,
1509,"PFIN","P & F Industries, Inc.","Nasdaq","Technology","Industrial Machinery/Components",,1582243200,,,0,0,0,"2020-05-18","-","-","-",
1529,"PSHG","Performance Shipping Inc.","Nasdaq","Transportation","Marine Transportation",,1464220800,,,0,0,0,"2020-05-18","-","-","-",
1571,"RADA","RADA Electronic Industries Ltd.","Nasdaq","Technology","Electronic Components",,,,,0,0,0,"2020-05-18","-","-",180,
1581,"RRR","Red Rock Resorts, Inc.","Nasdaq","Consumer Services","Hotels/Resorts",0.4,1583971200,,,1,0,0,"2020-05-18",0.2,-2.18,-1212.24,
1614,"SNFCA","Security National Financial Corporation","Nasdaq","Finance","Finance: Consumer Services",,,"2020-07-08 00:00:00","1:1",0,0,0,"2020-05-18","-","-","-",
1703,"TACT","TransAct Technologies Incorporated","Nasdaq","Technology","Computer peripheral equipment",,1574121600,,,0,0,1,"2020-05-18",-0.08,-0.13,-62.5,
1815,"YCBD","cbdMD, Inc.","AMEX","Consumer Non-Durables","Package Goods/Cosmetics",,,,,0,0,0,"2020-05-18",-0.08,0.46,675,
303,"CPLG","CorePoint Lodging Inc.","NYSE","Consumer Services","Real Estate Investment Trusts",0.8,1585526400,,,0,0,0,"2020-05-19",-0.74,-0.37,50,"2020-11-11"
399,"AVAL","Grupo Aval Acciones y Valores S.A.","NYSE","Finance","Commercial Banks",0.29,1598572800,,,0,0,0,"2020-05-19",0.17,0.18,5.88,
411,"HVT","Haverty Furniture Companies, Inc.","NYSE","Consumer Services","Other Specialty Stores",0.8,1597968000,,,0,0,1,"2020-05-19",-0.32,0.09,128.13,"2020-10-28"
430,"HUYA","HUYA Inc.","NYSE","Technology","Computer Software: Programming, Data Processing",,,,,1,0,1,"2020-05-19",0.93,1.12,20.95,
486,"MUX","McEwen Mining Inc.","NYSE","Basic Industries","Precious Metals",,1551916800,,,5,0,0,"2020-05-19",-0.01,-0.25,-2400,
487,"MCK","McKesson Corporation","NYSE","Health Care","Other Pharmaceuticals",1.68,1598832000,,,4,0,1,"2020-05-19",4.1,4.27,4.12,"2020-10-28"
586,"RCL","Royal Caribbean Group","NYSE","Consumer Services","Marine Transportation",3.12,1583366400,,,4,1,2,"2020-05-19",-0.63,-1.48,-134.92,"2020-10-28"
